AID	CLUSTER2	GSWGT3	GSWGT3_2
91572999	118	2371.4706	2165.207
91573016	185	2839.1615	2720.831
91573031	187	777.3819	735.2152
91573099	188	 	10545.4459
91573234	187	 	4204.8212
91573248	189	3042.5815	2831.1558
91573253	182	3633.5519	3371.6554
91573254	182	3601.9453	3451.8235
91573258	182	 	3451.8235
91573259	182	4088.7548	3709.5492
91573291	188	4980.3783	4634.2971
91573310	185	4750.4466	4359.5631
91573320	181	 	2719.9503
91573323	181	3821.0779	3517.2128
91573329	181	 	5160.9154
91573334	187	4341.1915	4204.8212
91573395	188	1808.0552	1612.3215
91573414	185	3252.4465	2849.745
91573417	185	3055.7755	2856.9152
91573419	185	2280.715	2111.4868
91573491	188	6925.1076	6067.6756
91573708	186	543.3815	484.5569
91573811	185	4147.1188	3921.6911
91573902	186	 	3937.5308
91573926	181	 	4730.4138
91573940	189	3414.777	2991.9765
91573944	189	4854.4362	4386.971
91573948	189	3583.0636	3388.2966
91573955	182	3633.5519	3371.6554
91573956	182	3985.0948	3638.4828
91573958	182	3985.0948	3638.4828
91574121	161	7239.1956	6717.4141
91574143	169	 	6863.7014
91574231	167	 	5227.1697
91574308	166	1078.1036	977.9048
91574337	167	10214.1292	9454.5839
91574399	168	5701.824	5169.0735
91574504	166	930.448	854.2715
91574594	168	6441.9165	5881.6173
91574632	167	 	5177.5816
91574688	163	7769.6765	7229.77
91574694	168	7701.3745	6867.6507
91574696	168	6962.2226	6221.8968
91574816	165	4922.8403	4465.312
91574915	165	 	1292.4329
91574916	165	3408.7272	3262.3089
91574923	161	 	7829.707
91575065	124	5163.0286	4523.7684
91575076	130	4132.0447	3834.2182
91575077	130	3106.3491	2976.8828
91575083	123	 	7228.8404
91575085	123	4357.9461	4055.1171
91575094	128	4823.2278	4380.3678
91575099	128	 	3383.4072
91575102	126	 	4011.8354
91575127	121	2441.6867	2213.5475
91575151	122	4437.0791	4117.2665
91575162	124	 	5053.4291
91575180	123	6937.7795	6078.7786
91575191	128	3466.719	3357.8186
91575194	128	 	3357.8186
91575216	125	 	4830.5794
91575217	125	5002.2118	4654.6134
91575227	121	 	4417.6899
91575235	127	 	3234.6887
91575239	127	3485.9462	3234.6887
91575240	129	 	1372.8761
91575246	129	1541.2103	1434.1133
91575249	129	 	2383.4088
91575261	124	 	5053.4291
91575280	123	 	6976.0135
91575282	123	 	4738.0634
91575296	128	4623.7166	4290.4517
91575302	126	3202.279	3028.2106
91575315	125	3714.8883	3369.6269
91575317	125	5002.2118	4654.6134
91575358	122	4437.0791	4117.2665
91575361	124	5214.8552	5271.7695
91575370	130	4132.0447	3834.2182
91575387	123	2183.6878	1951.486
91575391	128	 	3357.8186
91575394	128	 	3383.4072
91575420	121	 	6548.9392
91575432	127	 	4409.0505
91575477	130	4891.4844	4466.0373
91575522	121	7742.6257	7453.435
91575602	126	3690.3444	3536.5384
91575609	126	3221.3856	3191.3144
91575626	121	4943.3383	4417.6899
91575627	121	1885.0415	1684.5962
91575628	121	 	2785.2348
91575726	121	 	1723.782
91575911	125	5002.2118	4654.6134
91575916	125	5948.4899	5396.806
91575930	127	 	4451.2781
91575931	127	3319.0491	3030.3678
91575940	129	1477.8899	1317.8988
91575943	129	1546.6588	1471.2415
91575948	129	1712.271	1553.4689
91575949	129	1099.6238	981.9446
91575956	122	6116.4627	5861.541
91575966	124	6137.2499	5634.1898
91575992	128	 	3389.978
